,                                       Entering Foster Care during the Year,,,,,,,,,,,,,,,,,,,9 year change,                                                       Exiting Care during the Year,,,,,,,,,,                                       In Foster Care on Last Day of Year (September 30),,,,,,,,,
State,FY 2003,FY 2004,change 03-04,FY 2005,change 04-05,FY 2006,change 05-06,FY 2007,change 06-07,FY 2008,change 07-08,FY 2009,change 08-09,FY 2010,change 09-10,FY 2011,change 10-11,FY 2012,change 11-12,,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012
Montana,"1,175","1,228",0.045,"1,432",0.166,"1,153",-0.195,"1,075",-0.068,"1,022",-0.049,976,-0.045,958,-0.018,"1,041",0.087,"1,298",0.247,0.105,"1,087",992,"1,149","1,309","1,223","1,124",939,891,977,"1,131","1,866","2,030","2,222","1,909","1,737","1,600","1,639","1,723","1,794","1,937"
Nebraska,"2,907","4,155",0.429,"3,942",-0.051,"3,799",-0.036,"3,575",-0.059,"3,341",-0.065,"3,563",0.066,"3,373",-0.053,"3,151",-0.066,"2,806",-0.109,-0.035,"3,147","3,118","3,425","3,658","3,704","3,461","3,619","3,194","3,245","2,939","5,148","6,292","6,231","6,187","5,875","5,591","5,343","5,358","5,117","5,116"
Nevada,"3,202","3,495",0.092,"3,648",0.044,"3,956",0.084,"3,703",-0.064,"3,344",-0.097,"2,915",-0.128,"2,883",-0.011,"2,778",-0.036,"3,126",0.125,-0.024,"2,866","3,053","3,064","3,495","3,638","3,362","3,092","2,828","2,887","2,960","3,605","4,037","4,656","5,068","5,070","5,023","4,783","4,807","4,638","4,746"
New Hampshire,578,560,-0.031,548,-0.021,561,0.024,570,0.016,571,0.002,505,-0.116,522,0.034,495,-0.052,535,0.081,-0.074,613,523,549,557,534,553,558,529,474,398,"1,217","1,236","1,178","1,148","1,102","1,029",930,839,742,768
New Jersey,"6,994","6,660",-0.048,"5,811",-0.127,"6,282",0.081,"5,710",-0.091,"5,217",-0.086,"4,816",-0.077,"4,653",-0.034,"4,535",-0.025,"5,253",0.158,-0.249,"5,485","6,717","7,024","6,804","7,082","5,518","5,443","5,239","4,811","4,767","12,816","12,282","11,205","10,740","9,056","8,510","7,803","6,892","6,440","6,848"
New Mexico,"1,941","2,243",0.156,"2,241",-0.001,"2,121",-0.054,"2,268",0.069,"2,139",-0.057,"1,997",-0.066,"1,766",-0.116,"1,779",0.007,"1,721",-0.033,-0.113,"1,426","1,842","2,039","2,061","2,153","2,296","2,182","1,847","1,778","1,638","2,122","2,157","2,316","2,357","2,423","2,221","1,992","1,869","1,859","1,918"
New York,"13,598","12,705",-0.066,"11,283",-0.112,"13,353",0.183,"13,225",-0.010,"13,506",0.021,"12,876",-0.047,"12,605",-0.021,"11,122",-0.118,"10,594",-0.047,-0.221,"16,905","16,085","14,667","13,289","12,964","13,338","13,658","13,243","12,382","10,617","37,067","33,445","30,458","29,973","30,072","29,493","27,992","26,783","24,962","23,924"
North Carolina,"5,461","6,089",0.115,"6,529",0.072,"6,413",-0.018,"6,021",-0.061,"5,096",-0.154,"4,971",-0.025,"4,769",-0.041,"5,110",0.072,"5,026",-0.016,-0.080,"5,067","5,194","5,482","5,577","5,785","5,591","4,968","4,779","4,803","4,702","9,534","10,077","10,698","11,115","10,827","9,841","9,547","8,828","8,601","8,461"
North Dakota,"1,050","1,048",-0.002,"1,098",0.048,948,-0.137,901,-0.050,942,0.046,944,0.002,819,-0.132,789,-0.037,856,0.085,-0.185,878,874,911,881,891,896,904,835,703,778,"1,238","1,314","1,370","1,331","1,263","1,223","1,210","1,078","1,066","1,109"
Ohio,"13,997","13,152",-0.060,"12,311",-0.064,"11,880",-0.035,"11,007",-0.073,"10,168",-0.076,"8,788",-0.136,"9,260",0.054,"9,934",0.073,"9,551",-0.039,-0.318,"14,437","13,574","12,201","11,558","11,873","10,804","10,073","9,085","9,471","9,356","19,323","18,004","17,446","15,741","14,532","13,703","12,232","11,940","12,069","11,877"
Oklahoma,"6,713","6,802",0.013,"7,108",0.045,"6,817",-0.041,"6,767",-0.007,"5,893",-0.129,"4,734",-0.197,"4,345",-0.082,"4,829",0.111,"5,399",0.118,-0.196,"5,762","4,996","6,081","6,308","6,617","6,999","6,580","5,210","4,352","4,502","9,252","11,821","11,334","11,736","11,785","10,595","8,712","7,857","8,280","9,134"
Oregon,"4,976","5,544",0.114,"6,197",0.118,"5,294",-0.146,"4,604",-0.130,"4,549",-0.012,"4,601",0.011,"4,826",0.049,"4,250",-0.119,"4,215",-0.008,-0.153,"4,313","4,455","5,019","5,475","5,427","4,906","4,743","4,262","4,460","3,829","9,117","10,048","11,020","10,661","9,562","8,988","8,650","9,001","8,531","8,686"
Pennsylvania,"13,039","14,574",0.118,"14,658",0.006,"14,209",-0.031,"14,459",0.018,"20,174",0.395,"11,134",-0.448,"10,674",-0.041,"10,059",-0.058,"10,271",0.021,-0.212,"11,985","12,625","13,582","13,307","13,170","13,038","12,298","11,069","9,584","9,009","20,845","21,944","21,691","21,135","20,999","26,571","16,623","15,179","14,175","14,496"
Rhode Island,"1,567","1,649",0.052,"1,561",-0.053,"2,032",0.302,"1,698",-0.164,"1,488",-0.124,"1,447",-0.028,"1,465",0.012,"1,219",-0.168,"1,234",0.012,-0.213,"1,347","1,462","1,358","1,427","1,489","1,655","1,604","1,380","1,403","1,228","2,357","2,414","2,509","2,998","2,768","2,407","2,112","2,086","1,806","1,707"
South Carolina,"3,416","3,108",-0.090,"3,234",0.041,"3,486",0.078,"3,767",0.081,"3,862",0.025,"3,722",-0.036,"3,393",-0.088,"2,938",-0.134,"2,796",-0.048,-0.181,"3,353","3,151","3,071","3,260","3,427","3,900","3,747","3,803","3,533","3,409","4,801","4,635","4,757","4,920","5,167","5,054","4,978","4,487","3,821","3,113"
South Dakota,"1,375","1,274",-0.073,"1,368",0.074,"1,356",-0.009,"1,392",0.027,"1,345",-0.034,"1,448",0.077,"1,459",0.008,"1,407",-0.036,"1,190",-0.154,-0.135,"1,091","1,139","1,180","1,359","1,407","1,379","1,381","1,407","1,429","1,144","1,537","1,582","1,704","1,648","1,566","1,482","1,484","1,485","1,407","1,399"
Tennessee,"6,305","6,715",0.065,"7,056",0.051,"6,612",-0.063,"6,411",-0.030,"6,144",-0.042,"5,952",-0.031,"6,281",0.055,"6,573",0.046,"6,610",0.006,0.048,"4,288","4,877","6,421","6,841","6,969","6,453","6,214","6,086","5,363","5,982","9,487","9,590","9,017","8,618","7,751","7,219","6,723","6,695","7,647","7,978"
Texas,"11,513","13,613",0.182,"16,933",0.244,"16,928",0.000,"15,222",-0.101,"13,758",-0.096,"12,769",-0.072,"16,109",0.262,"16,903",0.049,"16,619",-0.017,0.443,"10,245","10,842","12,160","14,695","15,847","15,691","14,160","13,711","15,717","16,892","21,880","24,529","28,883","30,848","30,137","28,154","26,686","28,947","30,109","29,613"
Utah,"1,928","1,954",0.013,"2,215",0.134,"2,173",-0.019,"2,130",-0.020,"2,048",-0.038,"2,060",0.006,"2,226",0.081,"2,034",-0.086,"2,212",0.088,0.147,"1,821","1,791","1,984","1,956","1,775","2,024","1,966","2,042","2,154","2,079","2,033","2,108","2,285","2,427","2,765","2,714","2,759","2,886","2,701","2,766"
Vermont,725,840,0.159,770,-0.083,701,-0.090,618,-0.118,645,0.044,550,-0.147,555,0.009,664,0.196,606,-0.087,-0.164,760,763,714,729,661,713,647,653,542,596,"1,409","1,432","1,436","1,379","1,309","1,200","1,062",933,"1,010",975
Virginia,"3,351","3,418",0.020,"3,518",0.029,"4,039",0.148,"3,629",-0.102,"3,221",-0.112,"2,634",-0.182,"2,779",0.055,"2,614",-0.059,"2,653",0.015,-0.208,"2,459","2,772","3,417","3,317","3,467","3,060","3,369","3,143","2,991","2,928","7,046","6,869","7,022","7,672","7,718","7,099","5,968","5,414","4,846","4,579"
Washington,"6,196","6,554",0.058,"7,004",0.069,"6,738",-0.038,"6,998",0.039,"6,453",-0.078,"5,914",-0.084,"6,249",0.057,"5,643",-0.097,"5,299",-0.061,-0.145,"6,303","6,082","6,124","6,163","6,250","6,157","6,472","5,941","5,522","5,079","9,213","9,368","10,068","10,457","11,107","11,167","10,961","10,136","9,533","9,606"
West Virginia,"2,347","2,402",0.023,"2,846",0.185,"2,814",-0.011,"3,094",0.100,"3,264",0.055,"3,000",-0.081,"2,955",-0.015,"3,486",0.180,"3,460",-0.007,0.474,"1,268","1,283","2,483","2,550","2,549","3,128","3,039","2,973","3,030","2,832","4,069","3,990","4,629","4,018","4,432","4,412","4,237","4,112","4,475","4,562"
Wisconsin,"5,010","5,643",0.126,"5,830",0.033,"5,443",-0.066,"5,420",-0.004,"4,995",-0.078,"4,568",-0.085,"4,523",-0.010,"4,442",-0.018,"4,432",-0.002,-0.115,"5,832","5,682","5,451","5,546","4,919","4,806","4,920","4,465","4,292","4,403","7,824","7,812","8,076","7,459","7,541","7,403","6,796","6,575","6,547","6,384"
Wyoming,"1,035","1,153",0.114,"1,203",0.043,"1,159",-0.037,"1,050",-0.094,"1,124",0.070,"1,131",0.006,993,-0.122,996,0.003,982,-0.014,-0.051,902,964,"1,104","1,048","1,044","1,117","1,095","1,003","1,014",866,999,"1,139","1,177","1,225","1,173","1,113","1,083","1,004",886,963
Puerto Rico,"2,652","2,138",-0.194,"1,936",-0.094,"3,420",0.767,"2,203",-0.356,"1,855",-0.158,"1,190",-0.358,940,-0.210,"1,230",0.309,922,-0.250,-0.652,"2,624","1,937","1,748","2,763","1,531","1,426","1,468",892,642,462,"7,585","7,663","6,786","8,051","6,330","6,185","5,351","4,476","4,363","4,310"
Total,"289,413","298,072",0.030,"307,216",0.031,"304,843",-0.008,"293,264",-0.038,"280,423",-0.044,"255,027",-0.091,"255,278",0.001,"251,388",-0.015,"251,764",0.001,-0.130,"278,137","280,682","286,336","295,042","294,991","288,778","278,252","257,431","246,424","240,923","509,986","507,555","511,420","505,279","488,226","463,792","420,415","405,330","397,885","397,122"
